Names,Location,Subcategory,Religion,Description,Opening and Closing Hours,How to Reach?,Region
"Central Baptist Church, Delhi",Chandni Chowk,Church,Christianity,"One of the oldest Christian congregations in Delhi, established in 1814, known for its historical and spiritual significance.","Opens at 9 AM, closes at 6 PM","Located in central Delhi, accessible by local transport and taxi services",Old Delhi
"St. James' Church, Delhi","Lothian Rd, Kashmere Gate",Church,Christianity,"Built in 1836, this Anglican church is one of Delhi's oldest, showcasing colonial architecture with a beautiful copper dome.","Opens at 7 AM, closes at 7 PM","Situated in central Delhi near major landmarks, accessible by metro and local buses",North Delhi
St. Mary's Orthodox Cathedral Hauz Khas,Hauz Khas,Cathedral,Christianity,"This cathedral serves the Malankara Orthodox Syrian community in Delhi, offering a blend of traditional and modern religious practices.","Opens at 6 AM, closes at 8 PM","Located in Hauz Khas, accessible by metro (Yellow Line) and local transport",South Delhi
"St. Stephen's Church, Delhi",Chandni Chowk,Church,Christianity,"Constructed in 1862, this church is known for its Gothic architecture and vibrant stained glass windows.","Opens at 8 AM, closes at 6 PM","Near Khan Market, accessible by metro (Violet Line) and local transport",Old Delhi
"St. James' Orthodox Church, Delhi","Church Road, Pocket A1, Mayur Vihar Phase-3, Delhi 110096",Church,Christianity,"Another prominent Orthodox Christian church, serving the spiritual needs of the community with regular services and activities.","Opens at 7 AM, closes at 8 PM","Located in central Delhi, accessible by metro and local transport",East Delhi
Gurdwara Bangla Sahib,"Connaught Place, Delhi, India.",Gurdwara,Sikhism,A major Sikh gurdwara known for its beautiful Sarovar (pond) and its historical significance related to Guru Har Krishan.,Open 24/7,"Near Connaught Place, accessible by metro (Yellow Line) and local transport",Central Delhi
Gurdwara Dam Dama Sahib,"Outer Ring Road, New Delhi, India.",Gurdwara,Sikhism,"A significant religious site in Sikhism, associated with Guru Gobind Singh, offering spiritual solace to visitors.",Open 24/7,"Near Nizamuddin, accessible by local transport",South Delhi
Gurdwara Mata Sundri,Mandi House,Gurdwara,Sikhism,"Dedicated to Mata Sundri, the wife of Guru Gobind Singh, this gurdwara is a place of worship and historical importance.",Open 24/7,"Near Connaught Place, accessible by metro and local transport",Central Delhi
Gurdwara Nanak Piao,Gujranwala Town,Gurdwara,Sikhism,"This gurdwara commemorates Guru Nanak's visit to Delhi, with its name meaning 'Guru Nanaks well' due to the water service provided by the Guru.",Open 24/7,"North Delhi, accessible by local transport",North Delhi
Gurdwara Rakab Ganj Sahib,"Pandit Pant Marg, Gurdwara Rakab Ganj Road, New Delhi, India.",Gurdwara,Sikhism,"Built at the site where Guru Tegh Bahadur body was cremated, it is a prominent place of worship for Sikhs.",Open 24/7,"Near Parliament, accessible by metro and local transport",Central Delhi
Gurdwara Sis Ganj Sahib,"Chandni Chowk, Old Delhi, India.",Gurdwara,Sikhism,Marks the site of Guru Tegh Bahadur's martyrdom and is a major historical and religious site in Delhi.,Open 24/7,"Chandni Chowk area, accessible by metro (Yellow Line) and local transport",Old Delhi
Gurdwara Sri Guru Singh Sabha (Greater Kailash),"Greater Kailash 1, New Delhi, India.",Gurdwara,Sikhism,A modern gurdwara serving the Sikh community in South Delhi with regular prayers and community services.,"Opens at 5 AM, closes at 8 PM","South Delhi, accessible by metro (Violet Line) and local transport",South Delhi
Afsarwala tomb,"Humayun's Tomb, Delhi, India",Mosque,Islam," A Mughal-era tomb located in the Humayun's Tomb complex, notable for its architectural style.","Opens at 10 AM, closes at 5 PM","Located in Mehrauli, accessible by metro (Yellow Line) and local transport",South Delhi
Akbarabadi Mosque,Old Delhi,Mosque,Islam,"Built by Akbarabadi Begum, this mosque is a historical site reflecting Mughal architectural elegance.","Opens at 7 AM, closes at 7 PM","Near Kashmiri Gate, accessible by metro and local transport",Old Delhi
Bara Gumbad,Lodhi Gardens,Mosque,Islam,"A significant structure in Lodi Gardens, comprising a mosque and a gateway, known for its grand dome.","Opens at 9 AM, closes at 6 PM","In Lodhi Gardens, accessible by metro (Yellow Line) and local transport",South Delhi
