,Names,Location,Subcategory,Religion,Description,Opening and Closing Hours,How to Reach?
0,"Central Baptist Church, Delhi",Chandni Chowk,Church,Christianity,"One of the oldest Christian congregations in Delhi, established in 1814, known for its historical and spiritual significance.","Opens at 9 AM, closes at 6 PM","Located in central Delhi, accessible by local transport and taxi services"
1,"St. James' Church, Delhi",Delhi,Church,Christianity,"Built in 1836, this Anglican church is one of Delhi's oldest, showcasing colonial architecture with a beautiful copper dome.","Opens at 7 AM, closes at 7 PM","Situated in central Delhi near major landmarks, accessible by metro and local buses"
2,St. Mary's Orthodox Cathedral Hauz Khas,New Delhi,Cathedral,Christianity,"This cathedral serves the Malankara Orthodox Syrian community in Delhi, offering a blend of traditional and modern religious practices.","Opens at 6 AM, closes at 8 PM","Located in Hauz Khas, accessible by metro (Yellow Line) and local transport"
3,"St. Stephen's Church, Delhi",Delhi,Church,Christianity,"Constructed in 1862, this church is known for its Gothic architecture and vibrant stained glass windows.","Opens at 8 AM, closes at 6 PM","Near Khan Market, accessible by metro (Violet Line) and local transport"
4,"St. James' Orthodox Church, Delhi","Church Road, Pocket A1, Mayur Vihar Phase-3, Delhi 110096",Church,Christianity,"Another prominent Orthodox Christian church, serving the spiritual needs of the community with regular services and activities.","Opens at 7 AM, closes at 8 PM","Located in central Delhi, accessible by metro and local transport"
5,Delhi Sikh Gurdwara Management Committee,NCT of Delhi,Gurdwara,Sikhism,"This body manages the affairs of various Sikh gurdwaras in Delhi, ensuring their upkeep and organizing religious events.",Office hours vary; Gurdwaras open 24/7,Various locations in Delhi; check specific Gurdwara for directions
6,"Delhi Sikh Gurdwaras Act, 1971",Location not found,Gurdwara,Sikhism,A legislative act governing the management and administration of Sikh gurdwaras in Delhi.,Not applicable for opening hours,Legislation governing Sikh Gurdwaras in Delhi; not a physical location
7,Gurdwara Bangla Sahib,"Connaught Place, Delhi, India.",Gurdwara,Sikhism,A major Sikh gurdwara known for its beautiful Sarovar (pond) and its historical significance related to Guru Har Krishan.,Open 24/7,"Near Connaught Place, accessible by metro (Yellow Line) and local transport"
8,Gurdwara Dam Dama Sahib,"Outer Ring Road, New Delhi, India.",Gurdwara,Sikhism,"A significant religious site in Sikhism, associated with Guru Gobind Singh, offering spiritual solace to visitors.",Open 24/7,"Near Nizamuddin, accessible by local transport"
9,Gurdwara Mata Sundri,Location not found,Gurdwara,Sikhism,"Dedicated to Mata Sundri, the wife of Guru Gobind Singh, this gurdwara is a place of worship and historical importance.",Open 24/7,"Near Connaught Place, accessible by metro and local transport"
10,Gurdwara Nanak Piao,Location not found,Gurdwara,Sikhism,"This gurdwara commemorates Guru Nanak's visit to Delhi, with its name meaning 'Guru Nanaks well' due to the water service provided by the Guru.",Open 24/7,"North Delhi, accessible by local transport"
11,Gurdwara Rakab Ganj Sahib,"Pandit Pant Marg, Gurdwara Rakab Ganj Road, New Delhi, India.",Gurdwara,Sikhism,"Built at the site where Guru Tegh Bahadur body was cremated, it is a prominent place of worship for Sikhs.",Open 24/7,"Near Parliament, accessible by metro and local transport"
12,Gurdwara Sis Ganj Sahib,"Chandni Chowk, Old Delhi, India.",Gurdwara,Sikhism,Marks the site of Guru Tegh Bahadur's martyrdom and is a major historical and religious site in Delhi.,Open 24/7,"Chandni Chowk area, accessible by metro (Yellow Line) and local transport"
13,Gurdwara Sri Guru Singh Sabha (Greater Kailash),"Greater Kailash 1, New Delhi, India.",Gurdwara,Sikhism,A modern gurdwara serving the Sikh community in South Delhi with regular prayers and community services.,"Opens at 5 AM, closes at 8 PM","South Delhi, accessible by metro (Violet Line) and local transport"
